x,computed,exact,rel_error,log10(error)
0.082,0.47765,0.477572,0.00016311,-3.78752
0.083,0.481033,0.480954,0.000163981,-3.78521
0.084,0.484373,0.484293,0.000164854,-3.7829
0.085,0.48767,0.487589,0.000165732,-3.78059
0.086,0.490924,0.490842,0.000166612,-3.77829
0.087,0.494135,0.494052,0.000167497,-3.77599
0.088,0.497305,0.497221,0.000168384,-3.7737
0.089,0.500433,0.500348,0.000169275,-3.77141
0.09,0.50352,0.503434,0.00017017,-3.76912
0.091,0.506567,0.50648,0.000171068,-3.76683
0.092,0.509573,0.509485,0.00017197,-3.76455
0.093,0.512539,0.512451,0.000172875,-3.76227
0.094,0.515466,0.515376,0.000173783,-3.75999
0.095,0.518354,0.518263,0.000174696,-3.75772
0.096,0.521203,0.521111,0.000175611,-3.75545
0.097,0.524014,0.523921,0.000176531,-3.75318
0.098,0.526787,0.526693,0.000177453,-3.75092
