x,computed,exact,rel_error,log10(error)
0.0371,0.272858,0.272858,8.33294e-08,-7.0792
0.0372,0.273447,0.273447,8.33294e-08,-7.0792
0.0373,0.274036,0.274036,8.33294e-08,-7.0792
0.0374,0.274625,0.274625,8.33294e-08,-7.0792
0.0375,0.275212,0.275212,8.33294e-08,-7.0792
0.0376,0.275799,0.275799,8.33294e-08,-7.0792
0.0377,0.276386,0.276386,8.33294e-08,-7.0792
0.0378,0.276971,0.276971,8.33294e-08,-7.0792
0.0379,0.277556,0.277556,8.33294e-08,-7.0792
0.038,0.27814,0.27814,8.33294e-08,-7.0792
0.0381,0.278724,0.278724,8.33293e-08,-7.0792
0.0382,0.279307,0.279307,8.33293e-08,-7.0792
0.0383,0.279889,0.279889,8.33293e-08,-7.0792
0.0384,0.28047,0.28047,8.33293e-08,-7.0792
0.0385,0.281051,0.281051,8.33293e-08,-7.0792
0.0386,0.281631,0.281631,8.33293e-08,-7.0792
0.0387,0.282211,0.282211,8.33293e-08,-7.0792
0.0388,0.282789,0.282789,8.33293e-08,-7.0792
0.0389,0.283367,0.283367,8.33293e-08,-7.0792
0.039,0.283945,0.283945,8.33293e-08,-7.0792
0.0391,0.284522,0.284522,8.33293e-08,-7.0792
0.0392,0.285098,0.285098,8.33293e-08,-7.0792
0.0393,0.285673,0.285673,8.33293e-08,-7.0792
0.0394,0.286248,0.286248,8.33293e-08,-7.0792
0.0395,0.286822,0.286822,8.33293e-08,-7.0792
0.0396,0.287395,0.287395,8.33293e-08,-7.0792
0.0397,0.287968,0.287968,8.33293e-08,-7.0792
0.0398,0.28854,0.28854,8.33293e-08,-7.0792
0.0399,0.289111,0.289111,8.33293e-08,-7.0792
0.04,0.289682,0.289682,8.33293e-08,-7.0792
0.0401,0.290252,0.290252,8.33293e-08,-7.0792
0.0402,0.290821,0.290821,8.33293e-08,-7.0792
0.0403,0.29139,0.29139,8.33293e-08,-7.0792
0.0404,0.291958,0.291958,8.33293e-08,-7.0792
0.0405,0.292525,0.292525,8.33293e-08,-7.0792
0.0406,0.293092,0.293092,8.33293e-08,-7.0792
0.0407,0.293658,0.293658,8.33293e-08,-7.0792
0.0408,0.294223,0.294223,8.33293e-08,-7.0792
0.0409,0.294788,0.294788,8.33293e-08,-7.0792
0.041,0.295352,0.295352,8.33293e-08,-7.0792
0.0411,0.295915,0.295915,8.33293e-08,-7.0792
0.0412,0.296478,0.296478,8.33293e-08,-7.0792
0.0413,0.29704,0.29704,8.33293e-08,-7.0792
0.0414,0.297601,0.297601,8.33293e-08,-7.0792
0.0415,0.298162,0.298162,8.33293e-08,-7.0792
0.0416,0.298722,0.298722,8.33293e-08,-7.0792
0.0417,0.299281,0.299281,8.33293e-08,-7.0792
0.0418,0.29984,0.29984,8.33293e-08,-7.0792
0.0419,0.300398,0.300398,8.33293e-08,-7.0792
0.042,0.300955,0.300955,8.33293e-08,-7.0792
0.0421,0.301512,0.301512,8.33293e-08,-7.0792
0.0422,0.302068,0.302068,8.33293e-08,-7.0792
0.0423,0.302623,0.302623,8.33293e-08,-7.0792
0.0424,0.303178,0.303178,8.33293e-08,-7.0792
0.0425,0.303732,0.303732,8.33293e-08,-7.0792
0.0426,0.304286,0.304286,8.33293e-08,-7.0792
0.0427,0.304838,0.304838,8.33293e-08,-7.0792
0.0428,0.305391,0.305391,8.33293e-08,-7.0792
0.0429,0.305942,0.305942,8.33293e-08,-7.0792
0.043,0.306493,0.306493,8.33293e-08,-7.0792
0.0431,0.307043,0.307043,8.33293e-08,-7.0792
0.0432,0.307593,0.307593,8.33293e-08,-7.0792
0.0433,0.308141,0.308141,8.33293e-08,-7.0792
0.0434,0.30869,0.30869,8.33293e-08,-7.0792
0.0435,0.309237,0.309237,8.33292e-08,-7.0792
0.0436,0.309784,0.309784,8.33292e-08,-7.0792
0.0437,0.310331,0.310331,8.33292e-08,-7.0792
0.0438,0.310876,0.310876,8.33292e-08,-7.0792
0.0439,0.311421,0.311421,8.33292e-08,-7.0792
0.044,0.311966,0.311966,8.33292e-08,-7.0792
0.0441,0.312509,0.312509,8.33292e-08,-7.0792
0.0442,0.313052,0.313052,8.33292e-08,-7.0792
0.0443,0.313595,0.313595,8.33292e-08,-7.0792
0.0444,0.314137,0.314137,8.33292e-08,-7.0792
0.0445,0.314678,0.314678,8.33292e-08,-7.0792
0.0446,0.315218,0.315218,8.33292e-08,-7.0792
0.0447,0.315758,0.315758,8.33292e-08,-7.0792
0.0448,0.316297,0.316297,8.33292e-08,-7.0792
0.0449,0.316836,0.316836,8.33292e-08,-7.0792
0.045,0.317374,0.317374,8.33292e-08,-7.0792
0.0451,0.317911,0.317911,8.33292e-08,-7.0792
0.0452,0.318448,0.318448,8.33292e-08,-7.0792
0.0453,0.318984,0.318984,8.33292e-08,-7.0792
0.0454,0.319519,0.319519,8.33292e-08,-7.0792
0.0455,0.320054,0.320054,8.33292e-08,-7.0792
0.0456,0.320588,0.320588,8.33292e-08,-7.0792
0.0457,0.321122,0.321122,8.33292e-08,-7.0792
0.0458,0.321655,0.321655,8.33292e-08,-7.0792
0.0459,0.322187,0.322187,8.33292e-08,-7.0792
0.046,0.322718,0.322718,8.33292e-08,-7.0792
0.0461,0.323249,0.323249,8.33292e-08,-7.0792
0.0462,0.32378,0.32378,8.33292e-08,-7.0792
0.0463,0.324309,0.324309,8.33292e-08,-7.0792
0.0464,0.324839,0.324839,8.33292e-08,-7.0792
0.0465,0.325367,0.325367,8.33292e-08,-7.0792
0.0466,0.325895,0.325895,8.33292e-08,-7.0792
0.0467,0.326422,0.326422,8.33292e-08,-7.0792
0.0468,0.326949,0.326949,8.33292e-08,-7.0792
0.0469,0.327475,0.327475,8.33292e-08,-7.0792
0.047,0.328,0.328,8.33292e-08,-7.0792
0.0471,0.328525,0.328525,8.33292e-08,-7.0792
0.0472,0.329049,0.329049,8.33292e-08,-7.0792
0.0473,0.329572,0.329572,8.33292e-08,-7.0792
